date,ttt,interval,nh4,no3,tnmgha
5/22/2013,fall,2,10.07852469,5.947920375,16.02644507
5/22/2013,fall,2,1.840379015,3.058139544,4.898518559
5/22/2013,fall,2,3.665420854,11.57934561,15.24476646
5/22/2013,fall,2,2.367204051,3.44713473,5.814338781
5/22/2013,fall,2,4.113819074,3.654158858,7.767977932
5/22/2013,fall,2,2.860450249,5.183123268,8.043573516
5/22/2013,fall,2,4.551488598,36.68221182,41.23370041
5/22/2013,fall,2,7.909373799,34.55723564,42.46660944
5/22/2013,fall,2,2.548333094,4.930966884,7.479299978
5/22/2013,fall,2,4.317533128,13.93720755,18.25474068
5/22/2013,fall,2,24.51267356,13.2195448,37.73221836
5/22/2013,fall,2,18.26121199,39.62157693,57.88278892
5/22/2013,spring,2,14.7393027,71.6448566,86.3841593
5/22/2013,spring,2,5.060286934,49.43592785,54.49621478
5/22/2013,spring,2,24.25695524,38.53513653,62.79209177
5/22/2013,spring,2,4.092947725,30.81047037,34.9034181
5/22/2013,spring,2,3.527221745,13.06175795,16.5889797
5/22/2013,spring,2,25.15668462,26.97004984,52.12673446
5/22/2013,spring,2,8.021766773,73.69837549,81.72014227
5/22/2013,spring,2,14.46177026,26.61831003,41.08008029
5/22/2013,spring,2,25.22285724,48.46829737,73.6911546
5/22/2013,spring,2,2.750303011,41.45801126,44.20831427
5/22/2013,spring,2,4.240157217,12.86794521,17.10810242
5/22/2013,spring,2,6.475925667,19.35431116,25.83023682
6/19/2013,fall,3,5.090491192,2.696112365,7.786603557
6/19/2013,fall,3,4.876632498,3.58973958,8.466372077
6/19/2013,fall,3,2.539346789,1.53498193,4.074328719
6/19/2013,fall,3,4.173168723,3.420590107,7.593758831
6/19/2013,fall,3,3.850027607,3.409885477,7.259913084
6/19/2013,fall,3,8.326290506,6.217201786,14.54349229
6/19/2013,fall,3,5.133979299,10.29369955,15.42767885
6/19/2013,fall,3,5.4749624,2.770693513,8.245655914
6/19/2013,fall,3,10.9116551,3.239200464,14.15085557
6/19/2013,fall,3,4.368245171,2.485268397,6.853513568
6/19/2013,fall,3,4.357055704,3.530258662,7.887314366
6/19/2013,fall,3,18.46688692,47.96321774,66.43010466
6/19/2013,spring,3,4.402523939,7.062586971,11.46511091
6/19/2013,spring,3,5.699914514,6.050194705,11.75010922
6/19/2013,spring,3,7.04883433,25.89218634,32.94102067
6/19/2013,spring,3,8.767723554,39.05401036,47.82173391
6/19/2013,spring,3,3.758274373,6.753687259,10.51196163
6/19/2013,spring,3,4.572171386,12.95283548,17.52500686
6/19/2013,spring,3,3.676025442,11.73110068,15.40712612
6/19/2013,spring,3,4.749989048,19.82291859,24.57290764
6/19/2013,spring,3,6.923545975,16.51759828,23.44114426
6/19/2013,spring,3,5.78618007,11.85649476,17.64267483
6/19/2013,spring,3,3.760131851,5.088590466,8.848722317
6/19/2013,spring,3,2.821382141,5.320656212,8.142038353
7/20/2013,fall,4,2.991101567,3.721916198,6.713017766
7/20/2013,fall,4,2.393695043,1.592844014,3.986539057
7/20/2013,fall,4,2.220184544,1.903873147,4.12405769
7/20/2013,fall,4,3.507480203,3.15556499,6.663045193
7/20/2013,fall,4,2.474792465,2.860766906,5.335559371
7/20/2013,fall,4,6.182225136,4.543980174,10.72620531
7/20/2013,fall,4,3.199494567,2.623305321,5.822799888
7/20/2013,fall,4,3.359480508,1.819811684,5.179292192
7/20/2013,fall,4,3.310417938,4.417020423,7.727438361
7/20/2013,fall,4,4.650226383,4.714245211,9.364471593
7/20/2013,fall,4,7.574620079,4.220660055,11.79528013
7/20/2013,fall,4,3.972208033,4.781937267,8.7541453
7/20/2013,spring,4,3.173620971,1.672673893,4.846294864
7/20/2013,spring,4,2.539446934,2.981617945,5.521064879
7/20/2013,spring,4,4.387055778,4.800202506,9.187258285
7/20/2013,spring,4,6.037439188,6.773178467,12.81061765
7/20/2013,spring,4,2.460153571,2.397245349,4.85739892
7/20/2013,spring,4,3.254404993,2.219023627,5.47342862
7/20/2013,spring,4,2.732655139,3.020124278,5.752779417
7/20/2013,spring,4,2.785970422,2.358312549,5.144282971
7/20/2013,spring,4,5.675188299,2.845253359,8.520441658
